Title,PublicationPlace,PublicationPlaceState,PublicationPlaceCountry,Latitude,Longitude,Year,YearEnd,Gaps,Platform,Section,AccessLevel,URL,Last_Update,Language,Type,PlaceNotes,Subject1,Subject2,Subject3,Notes
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1808,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=245038,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1809,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=245139,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1810,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=245638,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1811,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=245922,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1812,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=246233,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1813,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=246510,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1814,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=246974,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1815,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=247335,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1817,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=247661,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Gazette,",Bombay,,India,18.9667,72.8333,1792,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=196705,Sep-22,English,Newspaper,India,Politics,,,
"Bombay Gazette,",Bombay,,India,18.9667,72.8333,1813,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=196172,Sep-22,English,Newspaper,India,Politics,,,
"Bombay Gazette,",Bombay,,India,18.9667,72.8333,1814,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=196450,Sep-22,English,Newspaper,India,Politics,,,
The Watchman,Bristol,,United Kingdom,51.4535,-2.5974,1796,,,Adam Matthew,Section I,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=181015,Sep-22,English,Journal,,Politics,Essays,,
"Asiatic Mirror, and Commercial Advertiser",Calcutta,,India,22.5411,88.3378,1793,1798,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=206517,Sep-22,English,Newspaper,India,Trade,,,
Bengal Lottery,Calcutta,,India,22.5411,88.3378,1793,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=206537,Sep-22,English,Lottery Announcement,,,,,
"Calcutta Chronicle; and General Advertiser,",Calcutta,,India,22.5411,88.3378,1787,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=209353,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Chronicle; and General Advertiser,",Calcutta,,India,22.5411,88.3378,1787,1788,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=209370,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Chronicle; and General Advertiser,",Calcutta,,India,22.5411,88.3378,1788,1789,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=209579,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Chronicle; and General Advertiser,",Calcutta,,India,22.5411,88.3378,1789,1790,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=209773,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Chronicle; and General Advertiser,",Calcutta,,India,22.5411,88.3378,1790,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=209972,Sep-22,English,Newspaper,India,Advertisements,,,
Calcutta Friday Morning Post and General Advertiser,Calcutta,,India,22.5411,88.3378,1793,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=210163,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Gazette,",Calcutta,,India,22.5411,88.3378,1791,1792,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=197412,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Gazette,",Calcutta,,India,22.5411,88.3378,1792,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=197574,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Gazette,",Calcutta,,India,22.5411,88.3378,1792,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=197720,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Gazette,",Calcutta,,India,22.5411,88.3378,1793,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=210168,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Gazette,",Calcutta,,India,22.5411,88.3378,1793,1794,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=210293,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Gazette; or, Oriental Advertiser,",Calcutta,,India,22.5411,88.3378,1784,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=197846,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Gazette; or, Oriental Advertiser,",Calcutta,,India,22.5411,88.3378,1784,1785,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=198021,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Gazette; or, Oriental Advertiser,",Calcutta,,India,22.5411,88.3378,1785,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=198202,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Gazette; or, Oriental Advertiser,",Calcutta,,India,22.5411,88.3378,1785,1786,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=198368,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Gazette; or, Oriental Advertiser,",Calcutta,,India,22.5411,88.3378,1786,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=198542,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Gazette; or, Oriental Advertiser,",Calcutta,,India,22.5411,88.3378,1786,1787,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=198709,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Gazette; or, Oriental Advertiser,",Calcutta,,India,22.5411,88.3378,1787,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=198873,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Gazette; or, Oriental Advertiser,",Calcutta,,India,22.5411,88.3378,1787,1788,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=204368,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Gazette; or, Oriental Advertiser,",Calcutta,,India,22.5411,88.3378,1788,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=199019,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Gazette; or, Oriental Advertiser,",Calcutta,,India,22.5411,88.3378,1788,1789,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=203550,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Gazette; or, Oriental Advertiser,",Calcutta,,India,22.5411,88.3378,1789,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=203681,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Gazette; or, Oriental Advertiser,",Calcutta,,India,22.5411,88.3378,1789,1790,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=203832,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Gazette; or, Oriental Advertiser,",Calcutta,,India,22.5411,88.3378,1790,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=203952,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Gazette; or, Oriental Advertiser,",Calcutta,,India,22.5411,88.3378,1790,1791,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=204089,Sep-22,English,Newspaper,India,Advertisements,,,
"Calcutta Gazette; or, Oriental Advertiser,",Calcutta,,India,22.5411,88.3378,1791,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=204217,Sep-22,English,Newspaper,India,Advertisements,,,
Calcutta Morning Post Extraordinary,Calcutta,,India,22.5411,88.3378,1793,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=210424,Sep-22,English,Newspaper,India,Politics,,,
"Hicky's Bengal Gazette; or, Calcutta General Advertiser",Calcutta,,India,22.5411,88.3378,1780,1782,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=211857,Sep-22,English,Newspaper,,Advertisements,Trade,,
"India Gazette, or, Calcutta Public Advertiser,",Calcutta,,India,22.5411,88.3378,1780,1781,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=200927,Sep-22,English,Newspaper,India,Politics,,,
"India Gazette, or, Calcutta Public Advertiser,",Calcutta,,India,22.5411,88.3378,1781,1782,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=201128,Sep-22,English,Newspaper,India,Politics,,,
"India Gazette, or, Calcutta Public Advertiser,",Calcutta,,India,22.5411,88.3378,1782,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=201327,Sep-22,English,Newspaper,India,Politics,,,
"India Gazette, or, Calcutta Public Advertiser,",Calcutta,,India,22.5411,88.3378,1785,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=212439,Sep-22,English,Newspaper,India,Politics,,,
"India Gazette, or, Calcutta Public Advertiser,",Calcutta,,India,22.5411,88.3378,1785,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=212627,Sep-22,English,Newspaper,India,Politics,,,
"India Gazette, or, Calcutta Public Advertiser,",Calcutta,,India,22.5411,88.3378,1793,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=212434,Sep-22,English,Newspaper,India,Politics,,,
World,Calcutta,,India,22.5411,88.3378,1794,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=215653,Sep-22,English,Newspaper,India,Trade,,,
University Magazine,Cambridge,,United Kingdom,52.2033,0.1249,1795,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=214875,Sep-22,English,Journal,,Essays,Education,,
"Genius of Kent; or, County Miscellany",Canterbury,,United Kingdom,51.28,1.0803,1792,1793,,Adam Matthew,Section I,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=172058,Sep-22,English,Journal,,Essays,Religion,,
Kentish Chronicle,Canterbury,,United Kingdom,51.28,1.0803,1797,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=262425,Sep-22,English,Newspaper,,Politics,Trade,,
"Cork Courier,",Cork,,Ireland,51.8983,-8.4728,1795,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=257248,Sep-22,English,Newspaper,Ireland,Politics,,,
"Cork Herald or Munster Advertiser,",Cork,,Ireland,51.8983,-8.4728,1798,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=257254,Sep-22,English,Newspaper,Ireland,Politics,,,
"Drogheda Journal, or Meath and Louth Advertiser,",Drogheda,,Ireland,53.7145,-6.3494,1796,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=258519,Sep-22,English,Newspaper,Ireland,Politics,,,
Anti-Union,Dublin,,Ireland,53.3381,-6.2848,1798,1799,,Adam Matthew,Section I,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=165223,Sep-22,English,Journal,,Essays,Politics,,
"Mirror,",Dublin,,Ireland,53.3381,-6.2848,1779,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=202008,Sep-22,English,Journal,,Essays,Literature,,
"Mirror,",Dublin,,Ireland,53.3381,-6.2848,1779,1780,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=201786,Sep-22,English,Journal,,Essays,Literature,,
Patriot,Dublin,,Ireland,53.3381,-6.2848,1748,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=214831,Sep-22,English,Magazine,,Essays,Politics,,
The Dublin Chronicle,Dublin,,Ireland,53.3381,-6.2848,1787,1792,,Adam Matthew,Section II,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=146865,Sep-22,English,Newspaper,Ireland,Politics,,,
The Dublin Evening Post,Dublin,,Ireland,53.3381,-6.2848,1736,,,Adam Matthew,Section II,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=147032,Sep-22,English,Newspaper,Ireland,Politics,,,
The Fish-Pool,Dublin,,Ireland,53.3381,-6.2848,1718,,,Adam Matthew,Section I,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=169847,Sep-22,English,Journal,,,Politics,Satire,
"The Flapper,",Dublin,,Ireland,53.3381,-6.2848,1796,,,Adam Matthew,Section I,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=169874,Sep-22,English,Journal,,,Essays,Satire,
"The Flapper,",Dublin,,Ireland,53.3381,-6.2848,1796,1797,,Adam Matthew,Section I,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=170095,Sep-22,English,Journal,,,Essays,Satire,
The Ladies Journal,Dublin,,Ireland,53.3381,-6.2848,1727,,,Adam Matthew,Section I,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=177968,Sep-22,English,Journal,,,Essays,Women,
"The Minerva Magazine of Knowledge, Instruction, And Entertainment: And Complete Monthly Register, Of Foreign and Domestic Occurrences",Dublin,,Ireland,53.3381,-6.2848,1793,,,Adam Matthew,Section V,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=316196,Sep-22,English,Journal,,,History,Politics,
The Old Whig,Dublin,,Ireland,53.3381,-6.2848,1719,,,Adam Matthew,Section I,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=174385,Sep-22,English,Journal,,,Essays,Politics,
"The Parlour Window, Containing Original Essays, Poetry, and Part of an Instructive Tale.",Dublin,,Ireland,53.3381,-6.2848,1795,,,Adam Matthew,Section V,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=316929,Sep-22,English,Journal,,,Essays,Literature,
The Plebeian,Dublin,,Ireland,53.3381,-6.2848,1718,1719,,Adam Matthew,Section I,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=174932,Sep-22,English,Journal,,,Essays,Politics,
The Press,Dublin,,Ireland,53.3381,-6.2848,1797,1798,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=265472,Sep-22,English,Newspaper,Ireland,Politics,,,
"The Spinster, in Defence of the Woollen Manufactures",Dublin,,Ireland,53.3381,-6.2848,1719,,,Adam Matthew,Section I,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=176261,Sep-22,English,Journal,,,Essays,Politics,
The Tribune,Dublin,,Ireland,53.3381,-6.2848,1729,,,Adam Matthew,Section I,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=180479,Sep-22,English,Journal,Ireland,Essays,,,
Town Talk: In A Series of Letters to a Lady in the Country,Dublin,,Ireland,53.3381,-6.2848,1715,1716,,Adam Matthew,Section I,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=179704,Sep-22,English,Journal,,,Essays,Weekly,
"Weekly Amusement, or Universal Magazine",Dublin,,Ireland,53.3381,-6.2848,1735,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=203533,Sep-22,English,Journal,,,Essays,Politics,
Whigg Monitor,Dublin,,Ireland,53.3381,-6.2848,1749,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=215649,Sep-22,English,Journal,,,Essays,Politics,
"Farmer's Magazine,",Edinburgh,,United Kingdom,55.9484,-3.1931,1800,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=199157,Sep-22,English,Journal,,Agriculture,Natural Philosophy,,
"Farmer's Magazine,",Edinburgh,,United Kingdom,55.9484,-3.1931,1801,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=199415,Sep-22,English,Journal,,Agriculture,Natural Philosophy,,
"Farmer's Magazine,",Edinburgh,,United Kingdom,55.9484,-3.1931,1802,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=199674,Sep-22,English,Journal,,Agriculture,Natural Philosophy,,
"Farmer's Magazine,",Edinburgh,,United Kingdom,55.9484,-3.1931,1803,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=199964,Sep-22,English,Journal,,Agriculture,Natural Philosophy,,
"Farmer's Magazine,",Edinburgh,,United Kingdom,55.9484,-3.1931,1804,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=200258,Sep-22,English,Journal,,Agriculture,Natural Philosophy,,
"The Bee, Or Literary Weekly Intelligencer, Consisting of Original Pieces, and Selections from Performances of Merit, Foreign and Domestic. A Work Calculated to Disseminate Useful Knowledge Among All Ranks of People at a Small Expence. By James Anderson.",Edinburgh,,United Kingdom,55.9484,-3.1931,1790,1791,,Adam Matthew,Section II,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=142011,Sep-22,English,Journal,,Essays,Literature,,
"The Bee, Or Literary Weekly Intelligencer, Consisting of Original Pieces, and Selections from Performances of Merit, Foreign and Domestic. A Work Calculated to Disseminate Useful Knowledge Among All Ranks of People at a Small Expence. By James Anderson.",Edinburgh,,United Kingdom,55.9484,-3.1931,1792,,,Adam Matthew,Section II,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=142255,Sep-22,English,Journal,,Essays,Literature,,
"The Bee, Or Literary Weekly Intelligencer, Consisting of Original Pieces, and Selections from Performances of Merit, Foreign and Domestic. A Work Calculated to Disseminate Useful Knowledge Among All Ranks of People at a Small Expence. By James Anderson.",Edinburgh,,United Kingdom,55.9484,-3.1931,1792,,,Adam Matthew,Section II,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=142470,Sep-22,English,Journal,,Essays,Literature,,
