Ruler,Alternative Names,Birth,Death,Reign_Begin,Reign_End,"State, Ruled",Capital of State Ruled,"State, Contemporary",Latitude,Longitude,Position,Title,Description,Image,Image Repository,Repository Link
Mussasa,,,,,,Imbangala,,,,,,,,,,
Natalya Naryshkina,,1651,1694,1682,1682,Russia,Moscow,Russia,55.7558,37.6173,Regent,Tsaritsa consort,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Portrait_of_Tsaritsa_Natalya_Kirillovna_Naryshkina_-_Google_Cultural_Institute.jpg/698px-Portrait_of_Tsaritsa_Natalya_Kirillovna_Naryshkina_-_Google_Cultural_Institute.jpg,Google Art Project,https://artsandculture.google.com/asset/%D0%BF%D0%BE%D1%80%D1%82%D1%80%D0%B5%D1%82-%D1%86%D0%B0%D1%80%D0%B8%D1%86%D1%8B-%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%B8-%D0%BA%D0%B8%D1%80%D0%B8%D0%BB%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B-%D0%BD%D0%B0%D1%80%D1%8B%D1%88%D0%BA%D0%B8%D0%BD%D0%BE%D0%B9/dgFh9ouU07q0Yw
"Nicole, Duchess of Lorraine",,1608,1657,1624,1625,Lorraine and Bar,Nancy,"Nancy, France",48.69353,6.18305,Duchess Regnant,Duchess Regnant,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Nicole_of_Lorraine%2C_Duchess_of_Lorraine_in_her_own_right_by_an_unknown_artist..jpg/630px-Nicole_of_Lorraine%2C_Duchess_of_Lorraine_in_her_own_right_by_an_unknown_artist..jpg?20150317211810,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Nicole_of_Lorraine,_Duchess_of_Lorraine_in_her_own_right_by_an_unknown_artist..jpg"
Nurul Alam Naqiatuddin Syah,,,1678,1675,1678,Aceh,Banda Aceh,"Aceh, Indonesia",5.54898,95.31554,Sultana Regnant,Sultana Regnant,,,,
Nzinga of Ndongo and Matamba,"Nzinga, Nzingha, Njinga, Njingha, Jinga, Ginga, Zinga, Zingua, Zhinga, Singa, Ana de Sousa, Anna de Souza Nzingha",1582,1663,"1624
1631","1663
1663","Ndongo
Mantamba",,"Kindonga, Democratic Republic of Congo",-5.61699,18.13319,Queen,Queen,,https://upload.wikimedia.org/wikipedia/commons/2/21/Ann_Zingha.jpg?20140919014050,National Portrait Gallery,https://www.npg.org.uk/collections/search/portrait/mw150782/Ann-Zingha
Olimpia Ludovisi,,1656,1700,1700,1700,Principality of Piombino,Piombino,"Piombino, Italy",42.92517,10.52661,Princess,Princess,,,,
Opossunoquonuske,"Oppussoquionuske, Opposunoquonuske",,1610,,1610,Appomattoc,,"Bermuda Hundred, Virginia, USA",37.33837,-77.27463,Weroansqua,Weroansqua,,,,
Princess Elisabeth Sophie of Brandenburg (1674–1748),,1674,1748,1698,1701,Courland,Mitau,"Jelgava, Latvia",56.65157,23.7282,Regent,Duchess,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Elisabeth_Sophie_von_Brandenburg_Gedeon_Romandon_001.JPG/708px-Elisabeth_Sophie_von_Brandenburg_Gedeon_Romandon_001.JPG?20180904192121,Prussian Palaces and Gardens Foundaition Berlin-Brandenburg,https://brandenburg.museum-digital.de/object/7369
Princess Hedwig Sophie of Brandenburg,,1623,1683,1663,1677,Hesse-Kassel,Kassel,"Kasssel, Germany",51.3134,9.48357,Regent,Landgravine Consort,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Hedvig_Sofia_de_Brandemburgo.jpg/704px-Hedvig_Sofia_de_Brandemburgo.jpg?20180305172235,Nationalmuseum Sweden,http://emp-web-84.zetcom.ch/eMP/eMuseumPlus?service=ExternalInterface&module=collection&objectId=14773&viewType=detailView
Puteri Saadong,Mariam,,,1663,1667,Kelantan,Kota Bharu,"Kelantan, Malaysia",6.12458,102.2503,Queen Regnant,Queen Regnant,,,,
Queen Ann (Pamunkey chief),,1650,1725,1706,1718,Pamunkey Tribe,,"Virginia, USA",37.57427,-77.00283,Werowamsqua,Werowamsqua,Possibly the same person as Queen Betty,,,
Queen Betty,,,,1686,1706,Pamunkey Tribe,,"Virginia, USA",37.57427,-77.00283,Werowamsqua,Werowamsqua,Possibly the same person as Queen Ann,,,
Queen Tey,,,,1687,1687,Cambodia,Longvek,"Longvek, Cambodia",11.8784,104.76153,Queen Regnant,Queen Regnant,,,,
Raja Biru,Ratu Biru,1566,1624,1616,1624,Sultanate of Patani,Patani,"Pattani, Thailand",6.88439,101.24544,Queen Regnant,Peracau,,,,
Raja Hijau,"Ratu Hijau, Raja Ijau",,,1584,1616,Sultanate of Patani,Patani,"Pattani, Thailand",6.88439,101.24544,Queen Regnant,Peracau,,,,
Raja Kuning,Ratu Kuning,,,1635,1651,Sultanate of Patani,Patani,"Pattani, Thailand",6.88439,101.24544,Queen Regnant,Paduka syah alam,,,,
Raja Ungu,Ratu Ungu,,1635,1624,1635,Sultanate of Patani,Patani,"Pattani, Thailand",6.88439,101.24544,Queen Regnant,Paduka syah alam,,,,
Seishin-ni,"Hachinohe Neneko, Nene, Mego",1585,1644,1614,1644,Hachinohe Clan,Hachinohe,"Hachinohe, Japan",40.50593,141.46018,Leader,Lady,,,,
Siti Wan Kembang,,1585,1663,1610,1663,Kelantan,Kelantan,"Kelantan, Malaysia",6.12458,102.2503,Queen Regnant,Queen Regnant,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Cik_Siti_Wan_Kembang_%28U%29.jpg/600px-Cik_Siti_Wan_Kembang_%28U%29.jpg?20140710140455,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cik_Siti_Wan_Kembang_(U).jpg
Sophia Alekseyevna of Russia,,1657,1704,1682,1689,Russia,Moscow,Russia,55.7558,37.6173,Regent,Princess,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Sophia_Alekseyevna%2C_by_Ilya_Repin.jpg/657px-Sophia_Alekseyevna%2C_by_Ilya_Repin.jpg,Tretyakov Gallery,http://www.art-catalog.ru/picture.php?id_picture=4253
Sophia Hedwig of Brunswick-Lüneburg,,1592,1642,1632,1642,County of Nassau-Dietz,Diez,"Diez, Germany",50.37054,8.01689,Regent,Countess,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Sophia_Hedwig_van_Brunswijk-Wolfenb%C3%BCttel%2C_gravin_van_Nassau-Dietz.jpg/684px-Sophia_Hedwig_van_Brunswijk-Wolfenb%C3%BCttel%2C_gravin_van_Nassau-Dietz.jpg?20160616182045,RKD - Netherlands Institute for Art History,https://rkd.nl/nl/explore/images/13744
Sophia of Holstein-Gottorp,,1569,1634,1603,1608,Duchy of Mecklenburg-Schwerin,Shwerin,"Shwerin, Germany",53.62905,11.41308,Regent,Duchess,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Sophie_von_Schleswig-Holstein-Gottorp.jpg/539px-Sophie_von_Schleswig-Holstein-Gottorp.jpg?20180601202404,Staatliches Museum Schwerin,https://commons.wikimedia.org/wiki/File:Sophie_von_Schleswig-Holstein-Gottorp.jpg
Sophie Augusta of Holstein-Gottorp,,1630,1680,1667,1674,Anhalt-Zerbst,Zerbst,"Zerbst, Germany",51.96363,12.08211,Regent,Princess,,https://upload.wikimedia.org/wikipedia/commons/6/64/Sophie_auguste.jpg,Wikimedia Commons,https://en.wikipedia.org/wiki/File:Sophie_auguste.jpg
Sophie of Solms-Laubach,,1594,1651,1625,1639,Brandenburg-Ansbach,Ansbach,"Ansbach, Germany",49.30202,10.57636,Regent,Margravine,,https://upload.wikimedia.org/wikipedia/commons/8/87/Sophie_of_Solms-Laubach.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sophie_of_Solms-Laubach.jpg
Taj ul-Alam,Putri Sri Alam,1612,1675,1641,1675,Aceh,Banda Aceh,"Aceh, Indonesia",5.54898,95.31554,Sultana Regnant,Sultana Regnant,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Sultanah_Safiatuddin.jpg/770px-Sultanah_Safiatuddin.jpg,Wikimedia Commons,https://en.wikipedia.org/wiki/File:Sultanah_Safiatuddin.jpg
Tembandumba,,,,,,Imbangala,,,,,,,,,,
Turhan Sultan,,1627,1683,1651,,Ottoman Empire,Constantinople,"Istabul, Turkey",41.0082,28.9784,Regent,"Haseki Sultan, Valide Sultan",,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Turhan_Hatice.jpg/741px-Turhan_Hatice.jpg?20170105125422,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Turhan_Hatice.jpg
Umayamma Rani,"Aswathi Thirunal Umayamma, Queen Ashure",,1698,1677,1684,Venad,Quilon,"Kollam, India",8.88647,76.59988,Regent,Queen,,-,,
Verónica I of Matamba,"Verónica Guterres Kangala Kingwanda, Verónica Guterres Cangala Quinguanda",,1721,1681,1721,Ndongo and Matamba,,Northern Angola,,,Queen,Queen,,-,,
Virginia de' Medici,,1568,1615,1601,1601,Modena and Reggio,Modena,"Modena, Italy",44.6468,10.92595,Regent,Duchess,,https://upload.wikimedia.org/wikipedia/commons/3/35/Virginia_de_Medici_duchessa_di_Modena.jpg?20170110204018,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Virginia_de_Medici_duchessa_di_Modena.jpg
Weetamoo,"Weethao, Weetamoe, Wattimore, Namumpum, Tatapanunum",1635,1676,1675,1676,Pocasset Tribe,Quequechan,"Fall River, Massachusetts, USA",41.67366,-71.18353,Sunksqua,Sunksqua,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Wettimore_aka_Weetamoo_Native_American_from_Massachusetts.png/758px-Wettimore_aka_Weetamoo_Native_American_from_Massachusetts.png?20201017235638,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Wettimore_aka_Weetamoo_Native_American_from_Massachusetts.png
Zainatuddin of Aceh,,,1700,1688,1689,Aceh Darussalam,Banda Aceh,"Aceh, Indonesia",5.54898,95.31554,Sultana Regnant,Sultana Regnant,,-,,
