PlaceName,PlaceNameModern,Latitude,Longitude,NameOfTraveler,YearOfTravel,Description,Citation,Hyperlink,Country,Country,Region,Region,Continent
Carthage,"Carthage, Tunisia",36.8529,10.3217,Lady Mary Wortley Montagu,1718,"I went up the little hill where once stood the castle of Byrsa, and from thence I had a distinct view of the situation of the famous city of Carthage, which stood on an isthmus, the sea coming on each side of it. 'Tis now a marshy ground on one side, where there are salt ponds. Strabo calls Carthage forty miles in circumference. There are now no remains of it, but what I have described; and the history of it is too well known to want my abridgement of it.","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. XLIV.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Tunisia,,Nothern Africa,,Africa
"Babylon, or Alcayr","Cairo, Egypt",30.0057,31.2299,Lewes Vertomannus,1503,"WHen we arryued there, I marueyled more then I am able to say : yet when I approached so neare the citie that I myght wel see into it, it seemed to me much inferior to the reporte and fame that was thereof: for the greatnesse thereof, seemed nothyng agreeable to the bruite, and appeared no more in circuite then the citie of Rome, although much more peopled, and better inhabited. But the large fieldes of the subu-rbes haue deceyued many, beyng dispersed with in maner in-numerable villages, which some haue thought to haue been part of the citie, whiche is nothyng so. For those villages and di-spersed houses, are two or three myles from the citie, and round about it on euery syde.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 2.
 Fol. 355.",https://archive.org/details/historyoftrauayl00angh,Egypt,,Nothern Africa,,Africa
Berynto,"Beirut, Lebanon",33.8938,35.5018,Lewes Vertomannus,1503,"THe riches, fayrenesse and magnificence of Babylon aforesayde, and the straunge souldiers Mamalnkes, as things know-en we will now pretermit. Therefore departing from Babylon, and returnyng to Alexandria, where we agayne ente-red into our sea, we came to Berynto, a citie on the sea coast of Syria Phoenicia, where we spent many days. This is inhabited of Mahume-tans, and plentifull of all thinges. The sea beateth on the walles of the towne : it is not compassed with walles, but on the West syde towarde the sea. Here found we nothyng memorable, but only an olde place ruinate, where they say Sainct George deliuered the kynges daughter from a cruell Dragon, whiche he slue, and restored her to her father.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 3. Fol. 356.",https://archive.org/details/historyoftrauayl00angh,Lebanon,,Western Asia,,Asia
Tripoli,"Tripoli, Lebanon",34.4346,35.8362,Lewes Vertomannus,1503,"Departyng from hence, we sayled to Tripoli. This is a citie of Syria, Eastwarde from Berynto two dayes sayling. The inhabitauntes are subiecte to the Lieutenant or gouernour of Syria, and are Mahumetans. The soile is very fertile, and for the great trafique of merchaun-dies, incredibly aboundeth with all thinges.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 3. Fol. 356.",https://archive.org/details/historyoftrauayl00angh,Lebanon,,Western Asia,,Asia
Damasco,"Damascus, Syria",33.5138,36.2765,Lewes Vertomannus,1503,"IT is in maner incredible, and passeth all be-leefe to thinke howe fayre the citie of Damas-co is, and how fertile is the soyle. And there-fore allured by the marueilous beautie of the citie, I remayned there many dayes, that learnyng theyr language, I might knowe the maners of the people. ... There is a very strong fortresse or Castell, which a certayne Ethruscan, borne in the citie of Florence, buylded at his owne charges, while he was there ý chiefe Hexarchatus or gouernour, as appeareth by the flower of a Lilie there grauen in marble beyng the armes of the citie of Florence. The citie is compassed with a deep fosse or diche, with foure goodly high towres. They passe the dyche with a hangyng brydge, which is lifted up or lette downe at theyr pleasure.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 5. Fol. 357.",https://archive.org/details/historyoftrauayl00angh,Syria,,Levant, Western Asia,Asia
Mecha,"Mecca, Saudi Arabia",21.3891,39.8579,Lewes Vertomannus,1503,"The citie is very fayre and well inhabited, and contayneth in rounde fourme syxe thousande houses, as well buylded as ours, and some that cost three or foure thousande peeces of golde : it hath no walles. About two furlongs from the citie is a mount, where the way is cutte out, whiche leadeth to a playne beneath. It is on euery syde fortified with mountains, in the stead of walles or bulwarks, and hath foure entries. ... The 18 daye of Maye, we entred into the citie by the north syde : then by a declynyng way, we came into a playne. On the south syde are two mountaynes, the one very neere the other, di-stant onely by a little valley, which is the way that leadeth to the gate of Mecha. On the east syde, is an open place betweene two mountaynes, lyke vnto a valley,and is the waye to the moun-tayne where they sacrifice to the Patriarkes Abraham & Isaac. 
 ...
 ...this citie is greatly cursed of God, as appereth by the great barrennesse thereof, for it is destitute of all maner of fruites and corne. It is scorched with drynesse for lacke of water, and therefore the water is there growen to suche pryce, that you can not for twelue pence buye as much water as wyll satisfy your thyrst for one day.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap.15. Fol. 365.",https://archive.org/details/historyoftrauayl00angh,Saudi Arabia,,Arabian Peninsula, Western Asia,Asia
Mecha,"Mecca, Saudi Arabia",21.3891,39.8579,Lewes Vertomannus,1503,"This mountayne is from the citie about .x. or .xii. myles, and of the heyght of three stones cast : it is of stone as harde as marble, yet no marble. In the toppe of the mountaine, is a Temple or Meschita, made after their fashion, and hath three wayes to enter into it. At the foote of the mountayne are two cesterns, which conserue waters without corruption : of these, the one is reserued to minister water to the Camels of the Carauana of Babylon or Alcayr, and the other, for them of Damasco. It is rayne water, and is deriued far of.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap.15.  Fol. 365.",https://archive.org/details/historyoftrauayl00angh,Saudi Arabia,,Arabian Peninsula, Western Asia,Asia
Mecha,"Mecca, Saudi Arabia",21.3891,39.8579,Lewes Vertomannus,1503,"LET vs now returne to speake of the pardons of pilgryms, for the which so many strange nations resort thither. In the myddest of the citie, is a Temple, in fashyon lyke vnto the Colossus of Rome, the Amphitheatrum, I meane, lyke vnto a stage, yet not of marbled or hewed stones, but of burnt bryckes : For this temple, lyke vnto an Amphitheater, hath fourescore and ten, or an hundred gates, and is vaulted. The entrance, is by a discent of twelue stayers or degrees on euery part: in the church porche, are solde only iewels and precious stones. In the entry the gylted walles shyne on euery syde with incomparable splen-dour.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap.15.  Fol. 366.",https://archive.org/details/historyoftrauayl00angh,Saudi Arabia,,Arabian Peninsula, Western Asia,Asia
Gezan,"Jazan, Saudi Arabia",16.8894,42.5706,Lewes Vertomannus,1503,"FOrasmuche as hytherto wee haue spoken somewhat of the maners of the people and cities of Arabia Fœlix, it may nowe seeme conuenient to finishe the rest of our vyage with such thinges as we haue seene in the sayde countrey of Arabia. Therefore after sixe saylyng, we came to a city na-med Gezan. It hath a commodious porte, and very fayre, where we found about fourtie and fyue Brigantines and Foistes of dy-uers regions. The citie is harde by the sea syde, and the Prince thereof, is a Mahumetan. The soile is fruitful, lyke vnto Ita-lie : It beareth Pomegranates, Quinses, Peaches, Apples of Assyria, Pepons, Melons, Oranges, Gourdes, and dyuers other fruites : Also Roses, and sundry sortes of floures, the fayrest that ever I sawe : It seemeth an earthly Paradyse.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 1. Fol. 371.",https://archive.org/details/historyoftrauayl00angh,Saudi Arabia,,Arabian Peninsula, Western Asia,Asia
Camaran,"Kamaran, Yemen",15.349479,42.585547,Lewes Vertomannus,1503,"THe same day sayling forwarde, we came to an Iland na-med Cameran, which conteyneth ten myles in circuite. In it is a towne of two hundred houses, the inhabitantes are Mahumetans : it hath aboundance of freshe water and fleshe, and the fayrest salte that euer I sawe. The porte is eight myles from the continent, it is subiecte to the Soltan of Amanian of Arabia Fœlix.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 3. Fol. 371.",https://archive.org/details/historyoftrauayl00angh,Yemen,,Arabian Peninsula, Western Asia,Asia
Lagi,"Lahij, Yemen",13.0578,44.8833,Lewes Vertomannus,1503,"THe daye folowyng, mountyng vppon a Camell, and makyng a iorney of .xxv. myles, I came to a certayne city named Lagi, situate in a great playne, well peopled, hauyng abundaunce of Olieues, and fleshe, with also great plentie of corne, after our maner: but no vines, and great scarse-nesse of woodde. The inhabitauntes are vnciuile and rusticall people, of the nation of vagabunde and feelde Arabians, and therfore but poore.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 7. Fol. 375.",https://archive.org/details/historyoftrauayl00angh,Yemen,,Arabian Peninsula, Western Asia,Asia
Aiaz ,"Al Hummaydah, Yemen",13.606381,44.929706,Lewes Vertomannus,1503,"Departing frō hence one dais iorney, I came to an other citie named Aiaz, situate vppon two hylles, with a great plaine betweene them, and hath in it a notable fountayne, and therefore diuers nations resort thither as to a famous mart. ... On the toppe of both the hylles, are very strong fortresses...","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 7. Fol. 375.",https://archive.org/details/historyoftrauayl00angh,Yemen,,Arabian Peninsula, Western Asia,Asia
Reame,"Yarim, Yemen",14.2965,44.3757,Lewes Vertomannus,1503,THis citie is distaunt two dayes iorney from Almacaran...The soyle is fruitfull of all thynges sauyng wood : it conteyneth in circuite two thousande houses : on the one syde is a mountayne hauyng on it a very strong fortresse.,"Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 9. Fol. 376.",https://archive.org/details/historyoftrauayl00angh,Yemen,,Arabian Peninsula, Western Asia,Asia
Sana,"Sana'a, Yemen",15.3694,44.191,Lewes Vertomannus,1503,"DEpartyng from thence three dayes iorney, I came to a citie named Sana, situate vppon a verye hyghe mountayne, verye strong by Arte and Nature... Yet it was at the last rendered by composition. The walles are of eyghteene cubites heyght, and twentie in breadth, insomuch that eyght Camels in order may wel marche vpon them. The region is very fruitefull and muche like vn-to ours, and hath plentie of water... It conteyneth about foure thousand houses. The houses are of fayre buyldyng, and geue no place to ours. The citie is so large, that it contey-neth within the walles, fieldes, gardens, and medowes.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 10. Fol. 376.",https://archive.org/details/historyoftrauayl00angh,Yemen,,Arabian Peninsula, Western Asia,Asia
Taessa,"Taizz, Yemen",13.5776,44.0178,Lewes Vertomannus,1503,"AFter three dayes iorney, I came to a citie named Taessa, sytuate vppon a moun- tayne, and verye fayre to syght : it hath plentie of all delices, and especially of marueylous fayre Roses, whereof they make Rose water. It is an auncient citie, and hath in a Temple buylded after the fashi-on of the churche of Sancta Maria Rotunda in Rome. The hou-ses are verye fayre, and shewe yet the monumentes of antiquitie...","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 11. Fol. 376.",https://archive.org/details/historyoftrauayl00angh,Yemen,,Arabian Peninsula, Western Asia,Asia
Zibith,"Zabid, Yemen",14.2004,43.3222,Lewes Vertomannus,1503,"Three dayes iorney from thence, I came to an other citie named Zi-bith, very fayre and good, distaunt from the redde sea onlye halfe a dayes iorney ... It is sytuate in a very large playne within two mountaynes : it lacketh walles, and is one of the cheefest martes for all sortes of spyces.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 11. Fol. 376.",https://archive.org/details/historyoftrauayl00angh,Yemen,,Arabian Peninsula, Western Asia,Asia
Damar,"Dhamar, Yemen",14.5455,44.4087,Lewes Vertomannus,1503,"From hence in one dayes iorney, I came to the citie of Damar : it is in a fruitefull soyle, and hath great exercise of merchandise.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 11. Fol. 377.",https://archive.org/details/historyoftrauayl00angh,Yemen,,Arabian Peninsula, Western Asia,Asia
